school_name,School ID,Type,Programmes,Suburb,Actively Working In,latitude,longitude,Google Maps,Total Children,Total Youth,Total Sessions
Pendla,78,Primary,Zazi Izandi,New Brighton,checked,-33.900606,25.58775072,"https://www.google.com/maps?q=-33.900606398277866,25.58775072433527",47,0,17
Phakama,104,Primary,Zazi Izandi,Kwazakhele,checked,-33.865499,25.58162366,"https://www.google.com/maps?q=-33.86549856180082,25.58162365501606",28,0,12
Phakamile,285,Primary,Zazi Izandi,Mdantsane,checked,-33.821083,25.38644927,"https://www.google.com/maps?q=-33.82108279416098,25.386449267877442",74,0,15
Phakamisa,32,High School,Top Learners High School,Zwide,checked,-33.857783,25.56218855,"https://www.google.com/maps?q=-33.85778258800996,25.562188551320826",10,0,0
Phindubuye,201,Primary,Zazi Izandi,KwaNobuhle,checked,-33.819592,25.39819963,"https://www.google.com/maps?q=-33.81959193215531,25.398199627515535",105,0,0
Qaphelani,3,High School,Top Learners High School,Kwazakhele,checked,-33.88162,25.58561627,"https://www.google.com/maps?q=-33.881619868547794,25.585616268510798",5,0,0
Qaqawuli Godolozi,302,ECD,Literacy,Zwide,checked,-33.813846,25.60996804,"https://www.google.com/maps?q=-33.81384551919858,25.609968044538864",22,2,1813
Qhamani Pre-school,212,ECD,Numeracy,Zwide,checked,-33.876655,25.56320893,"https://www.google.com/maps?q=-33.876654516707596,25.56320892531386",85,0,609
Qhayiyalethu,20,High School,Top Learners High School,Kareedouw,,,,,4,0,0
Republic,118,Primary,Zazi Izandi,Windvogel,checked,-33.897826,25.54006751,"https://www.google.com/maps?q=-33.89782592011218,25.540067510366082",101,0,10
Rocklands,6,High School,Top Learners High School,Uitenhage,checked,-34.057497,18.60897891,"https://www.google.com/maps?q=-34.057497378805095,18.608978912697435",3,0,0
Rufane Donkin,197,Primary,Zazi Izandi,Galvandale,,-33.915095,25.54695635,"https://www.google.com/maps?q=-33.9150950620373,25.546956350850742",87,0,0
Sakha Abantwana,100,ECD,Zazi Izandi,New Brighton,,-33.907152,25.58977497,"https://www.google.com/maps?q=-33.907152,25.58977497",6,1,40
Sakhisizwe,14,High School,Top Learners High School,Zwide,checked,-33.878487,25.564405,"https://www.google.com/maps?q=-33.878487456346924,25.56440499734612",6,0,0
Sakhuxolo Educare,263,ECD,1000 Stories,Bethelsdorp,checked,-33.86037,25.54099066,"https://www.google.com/maps?q=-33.860369970994,25.54099066434193",0,0,90
Samkelewe,33,High School,Top Learners High School,Addo,,,,,6,0,0
Samuel Nongogo ,85,Primary,Zazi Izandi,New Brighton,checked,-33.895776,25.59904334,"https://www.google.com/maps?q=-33.89577609199437,25.599043335981495",43,0,0
Sanctor,154,Primary,Zazi Izandi,Sanctor,checked,-33.882622,25.50694695,"https://www.google.com/maps?q=-33.88262240835983,25.50694695132211",157,0,22
Sandwater,306,Primary,Literacy,Umzamowethu,checked,-34.166199,24.663981,"https://www.google.com/maps?q=-34.166199,24.663981",40,4,1174
Sapphire,51,Primary,"Zazi Izandi,1000 Stories,YearBeyond",Chatty,checked,-33.853048,25.47163391,"https://www.google.com/maps?q=-33.85304795419496,25.47163391205432",335,1,42
Seagull,133,Primary,Zazi Izandi,Rosedale,checked,-33.733035,25.38555108,"https://www.google.com/maps?q=-33.73303541192428,25.38555108014914",169,0,0
Sekunjalo PreSchool,272,ECD,1000 Stories,New Brighton,checked,,,,0,0,62
Seyisi,279,Primary,"Literacy,Zazi Izandi,1000 Stories,YearBeyond,EduTech",Kwazakhele,checked,-33.886369,25.60077071,"https://www.google.com/maps?q=-33.886368761616716,25.600770711478294",191,15,7242
Sifunimfundo,314,ECD,Literacy,Motherwell,checked,-33.797608,25.57737631,"https://www.google.com/maps?q=-33.79760787722665,25.577376314762574",24,2,1818
Sikhothina,125,Primary,Zazi Izandi,KwaNobuhle,checked,-33.824406,25.38685542,"https://www.google.com/maps?q=-33.82440636611018,25.386855424330957",29,0,0
